,X0,X1,X2,X3,X4,Y1,Y2,Y3
0,0.7776901,0.064861897,0.346374525,0.175947989,0.804388119,1.578089346,0.792396977,2.576727576
1,0.211415833,0.404822121,0.61747636,0.401805611,0.351318647,0.793119325,2.252797458,1.401879564
2,0.608359932,0.995075003,0.792983574,0.580633359,0.16213911,2.278104592,4.364455695,1.072997207
3,0.342836217,0.769736355,0.717541153,0.042326331,0.8796588,1.569298803,3.085833779,2.688726074
4,0.382081122,0.290247782,0.276179914,0.761377928,0.644435259,1.021245206,1.938538931,2.664733207
5,0.253767616,0.02088389,0.510042551,0.547493658,0.306075852,0.474388019,1.102791668,1.530652883
6,0.565690588,0.872913547,0.940215893,0.84567951,0.276557517,2.018372472,4.440406583,1.786333906
7,0.112366943,0.789159775,0.125592231,0.811086056,0.514821659,1.0193712,3.31198901,2.321409168
8,0.143897428,0.931679194,0.49997915,0.250878025,0.429884249,1.255541235,3.634831538,1.496087978
9,0.305899973,0.912935024,0.581132439,0.788918829,0.031642806,1.487430514,4.064195886,0.8708721
10,0.788840832,0.053779477,0.30102015,0.09786907,0.522928383,1.55002679,0.468709301,1.600977677
11,0.16425111,0.032227025,0.88715313,0.499256802,0.914531546,0.405995545,1.527917718,3.222764728
12,0.865308677,0.291815898,0.167046645,0.8740071,0.37227982,1.987619165,1.840181651,1.984630892
13,0.402568469,0.484110926,0.726659019,0.311592272,0.25006319,1.215000812,2.547936556,1.10279248
14,0.100442414,0.089634459,0.395447234,0.275539167,0.410999011,0.353669922,0.940973722,1.423837037
15,0.346419969,0.80277002,0.835628009,0.943926246,0.06738552,1.443012981,4.172494896,1.154708243
16,0.600738598,0.853035473,0.367213546,0.529690231,0.380275156,2.048551889,3.54935544,1.640700865
17,0.478596135,0.54037401,0.398872973,0.252684398,0.140417834,1.383206719,2.274253436,0.659339652
18,0.943924333,0.894143984,0.06443755,0.083769014,0.842148177,2.77925825,2.782608629,2.712186313
19,0.109227356,0.339376051,0.515189549,0.821086684,0.137104059,0.682313135,2.35889633,1.293054263
20,0.98234627,0.425696343,0.635741458,0.81810541,0.89717224,2.402166697,2.793132116,3.469355757
21,0.519900649,0.322592178,0.767374943,0.374203267,0.838355392,1.319846598,2.126538563,2.884743271
22,0.320658179,0.639243738,0.652952511,0.214540942,0.341233502,1.367541589,2.749668758,1.223384106
23,0.71378034,0.542660467,0.472057045,0.452119593,0.298677159,2.001201457,2.553722804,1.245982816
24,0.805030268,0.278274458,0.517645653,0.90796342,0.660329624,1.865033718,2.203659571,2.857278364
25,0.485518741,0.702661606,0.970866448,0.105709831,0.773829641,1.636104063,3.149322285,2.344072995
26,0.37143099,0.550182747,0.718638831,0.112430136,0.184190721,1.18631605,2.495727439,0.61675799
27,0.325551918,0.799380048,0.47832548,0.293015078,0.607289995,1.463849573,3.223909857,2.174395532
28,0.851854077,0.672897676,0.439002168,0.819237601,0.370140238,2.278208962,3.256961708,1.934523579
29,0.231057901,0.72076738,0.46121963,0.526290294,0.330479088,1.121704013,3.173470643,1.514626277
30,0.931681681,0.773442002,0.985544676,0.92559453,0.010610685,2.613890978,4.313355207,0.920227037
31,0.998208128,0.994911074,0.178299128,0.752067884,0.986638881,2.970754193,4.007238051,3.71774719
32,0.01285615,0.499629659,0.183546661,0.814332595,0.527175648,0.591508113,2.497100561,2.443720938
33,0.13237439,0.584672646,0.021543226,0.374658383,0.184037424,0.765742171,2.166509016,0.837122907
34,0.003320079,0.599742546,0.406172457,0.638548076,0.660947308,0.576315722,2.854183491,2.724441411
35,0.935933498,0.647401678,0.920212786,0.649275488,0.687038865,2.512550948,3.42679275,2.714656494
36,0.437387658,0.681980036,0.826792212,0.539884018,0.7830278,1.595008035,3.412202036,2.956955819
37,0.505469163,0.255854059,0.947592023,0.816001457,0.910294853,1.283382625,2.491713544,3.57480363
38,0.412082023,0.401880772,0.217881586,0.332718562,0.002694749,1.226972714,1.832895786,0.307149199
39,0.410338254,0.545691868,0.743841052,0.776156212,0.838310171,1.290476201,3.10508293,3.19230933
40,0.184856339,0.547565165,0.241041734,0.050564467,0.386440426,0.966130128,1.907665296,1.242649456
41,0.873702453,0.676807253,0.854926729,0.35669249,0.433562163,2.452807692,3.238789729,1.740580569
42,0.838844591,0.312453273,0.702651037,0.850815556,0.979586509,2.016742696,2.51113194,3.667856539
